| P05787
1 0.0062
2 0.0065
3 0.007
4 0.0075
5 0.0065
6 0.0074
7 0.0201
8 0.0183
9 0.0123
10 0.0083
11 0.0078
12 0.0141
13 0.1046
14 0.1331
15 0.1506
16 0.1227
17 0.2298
18 0.1017
19 0.012
20 0.0063
21 0.0046
22 0.0063
23 0.0061
| P08729
1 0.0062
2 0.0065
3 0.007
4 0.0075
5 0.0065
6 0.0074
7 0.0201
8 0.0183
9 0.0123
10 0.0083
11 0.0078
12 0.0141
13 0.1046
14 0.1331
15 0.1506
16 0.1227
17 0.2298
18 0.1017
19 0.012
20 0.0063
21 0.0046
22 0.0063
23 0.0061
| Q7Z3Y7
1 0.0273
2 0.0355
3 0.0299
4 0.0382
5 0.0319
6 0.0274
7 0.0319
8 0.0372
9 0.0291
10 0.0346
11 0.0515
12 0.041
13 0.0303
14 0.0776
15 0.0973
16 0.1039
17 0.0577
18 0.0334
19 0.043
20 0.0344
21 0.0348
22 0.0406
23 0.0316
| Q7Z3Z0
1 0.0273
2 0.0355
3 0.0299
4 0.0382
5 0.0319
6 0.0274
7 0.0319
8 0.0372
9 0.0291
10 0.0346
11 0.0515
12 0.041
13 0.0303
14 0.0776
15 0.0973
16 0.1039
17 0.0577
18 0.0334
19 0.043
20 0.0344
21 0.0348
22 0.0406
23 0.0316
| Q7Z3Y8
1 0.0273
2 0.0355
3 0.0299
4 0.0382
5 0.0319
6 0.0274
7 0.0319
8 0.0372
9 0.0291
10 0.0346
11 0.0515
12 0.041
13 0.0303
14 0.0776
15 0.0973
16 0.1039
17 0.0577
18 0.0334
19 0.043
20 0.0344
21 0.0348
22 0.0406
23 0.0316
| Q04695
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 1.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P69892
1 0.1217
2 0.4611
3 0.0593
4 0.3578
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P69891
1 0.1217
2 0.4611
3 0.0593
4 0.3578
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P02100
1 0.1217
2 0.4611
3 0.0593
4 0.3578
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| A6NDG6
1 0.0
2 0.0
3 0.0
4 0.0414
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.6859
11 0.236
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0368
20 0.0
21 0.0
22 0.0
23 0.0
| Q13765
1 0.0077
2 0.009
3 0.0076
4 0.0051
5 0.0052
6 0.0507
7 0.0179
8 0.007
9 0.0079
10 0.0069
11 0.5185
12 0.3205
13 0.0046
14 0.0042
15 0.0028
16 0.0
17 0.0042
18 0.0
19 0.003
20 0.0036
21 0.0048
22 0.0047
23 0.0041
| O00148
1 0.0
2 0.0263
3 0.0
4 0.0
5 0.0
6 0.0363
