| P02649
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.2668
12 0.0
13 0.7332
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P08729
1 0.0
2 0.0119
3 0.02
4 0.0173
5 0.0277
6 0.0177
7 0.0203
8 0.0165
9 0.0105
10 0.0222
11 0.0153
12 0.0336
13 0.0514
14 0.0849
15 0.0
16 0.1002
17 0.1165
18 0.2664
19 0.1412
20 0.0
21 0.0
22 0.0174
23 0.0091
| A4D1E9
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 1.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| A6NDG6
1 0.0
2 0.0037
3 0.0039
4 0.0066
5 0.0041
6 0.0
7 0.0033
8 0.1467
9 0.7012
10 0.0661
11 0.0044
12 0.0
13 0.0051
14 0.0467
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0081
23 0.0
| O00148
1 0.0
2 0.0198
3 0.117
4 0.0913
5 0.0
6 0.0
7 0.0411
8 0.0
9 0.0801
10 0.0278
11 0.0185
12 0.0
13 0.0737
14 0.0262
15 0.0
16 0.0
17 0.0
18 0.4317
19 0.0621
20 0.0
21 0.0
22 0.0
23 0.0107
| O00151
1 0.0
2 0.0
3 0.0528
4 0.002
5 0.0029
6 0.0
7 0.0033
8 0.0045
9 0.0422
10 0.7127
11 0.0843
12 0.0
13 0.0953
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00154
1 0.0
2 0.0175
3 0.0174
4 0.0203
5 0.0341
6 0.0839
7 0.0774
8 0.0215
9 0.0465
10 0.0457
11 0.0631
12 0.1499
13 0.0541
14 0.0502
15 0.0
16 0.0757
17 0.1106
18 0.0697
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0623
| O00165
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.9536
10 0.0
11 0.0
12 0.0
13 0.0464
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00217
1 0.0
2 0.3278
3 0.5972
4 0.0633
5 0.0054
6 0.0023
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0022
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0018
23 0.0
| O00231
1 0.0
2 0.0187
3 0.017
4 0.021
5 0.0134
6 0.0145
7 0.0173
8 0.0131
9 0.0168
10 0.0234
11 0.0263
12 0.0556
13 0.0122
14 0.21
15 0.0
16 0.1287
17 0.2548
