|	P02649
10	0.2668
12	0.7332
|	P08729
16	0.222285823316161
17	0.777714176683839
|	A4D1E9
12	1.0
|	A6NDG6
8	1.0
|	O00148
17	1.0
|	O00151
9	1.0
|	O00154
11	0.5754318618042227
16	0.4245681381957773
|	O00165
8	1.0
|	O00217
2	1.0
|	O00231
15	0.33559322033898303
16	0.6644067796610169
|	O00264
3	0.6380311427817367
5	0.3619688572182634
|	O00273
11	0.1797923524943023
12	0.8202076475056976
|	O00299
6	1.0
|	O00442
12	1.0
|	O00487
8	1.0
|	O00625
8	1.0
|	O00629
21	1.0
|	O00764
8	0.17735632183908046
9	0.6891954022988506
11	0.13344827586206898
|	O14657
9	1.0
|	O14684
1	0.38023190045248867
3	0.6197680995475113
|	O14732
6	0.2520473157415833
7	0.48784609385155336
9	0.2601065904068634
|	O14818
5	1.0
|	Q8TAA3
5	1.0
|	O14828
12	1.0
|	O14880
1	1.0
|	O14908
11	1.0
|	O14925
2	0.5335062689148292
4	0.4664937310851708
|	O14929
15	0.3426954940391999
16	0.6573045059608001
|	P19105
1	0.40184103381129405
3	0.5981589661887059
|	O14950
1	0.40184103381129405
3	0.5981589661887059
|	P24844
1	0.40184103381129405
3	0.5981589661887059
|	O15145
2	0.20040485829959515
3	0.7995951417004049
|	O15160
12	1.0
|	O15173
2	0.2595875891308537
4	0.4738870687993833
6	0.266525342069763
|	O15372
11	0.19533865567859904
12	0.804661344321401
|	O15460
21	1.0
|	O15498
3	1.0
|	O43169
1	0.5513085818624468
2	0.44869141813755326
|	O43172
21	1.0
|	O43324
2	1.0
|	O43396
8	1.0
|	O43399
5	1.0
|	Q8NHP1
9	0.873209615145099
15	0.126790384854901
|	O43598
1	1.0
|	O43617
3	0.5648678414096916
7	0.43513215859030835
|	O43681
12	1.0
|	O43684
10	0.6781215985072306
12	0.3218784014927694
|	O43709
8	1.0
|	O43760
3	0.3010675302866739
4	0.36835792251409377
8	0.13721962336571908
10	0.1933549238335133
|	O43765
9	0.2533
10	0.7467
|	O43809
4	1.0
|	O43837
12	1.0
|	O60256
11	1.0
|	O60547
12	1.0
|	O60664
16	1.0
|	O60684
21	1.0
|	P52294
21	1.0
|	O15131
21	1.0
|	O60701
21	1.0
|	O60762
5	1.0
|	Q99880
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q99879
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q99877
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q93079
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q5QNW6
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q16778
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	P62807
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	P58876
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	P33778
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	P23527
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	P06899
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	O60814
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	P57053
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q8N257
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q96A08
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q6DRA6
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	Q6DN03
1	0.6266650666026642
3	0.25093003720148804
6	0.12240489619584782
|	O60828
9	1.0
|	O60831
1	1.0
|	O60884
15	1.0
|	O75131
21	1.0
|	Q96FN4
21	1.0
|	O95741
21	1.0
|	O75208
8	1.0
|	O75223
1	0.7145809651751576
3	0.2854190348248424
|	O75340
1	0.6503067484662577
3	0.3496932515337423
|	O75367
11	1.0
|	Q9P0M6
11	1.0
|	O75396
3	1.0
|	O75436
10	1.0
|	O75494
6	0.23053341508277134
8	0.4561618638871858
9	0.31330472103004287
|	O75607
1	0.6003554826360404
4	0.23461853978671038
5	0.1650259775772491
|	O75608
3	1.0
|	O75718
15	1.0
|	O75792
7	1.0
|	O75794
10	0.1626685592618879
12	0.26288147622427255
15	0.3303051809794181
16	0.24414478353442157
|	O75818
12	1.0
|	O75822
8	0.1409938557723402
9	0.8590061442276599
|	O75828
6	0.44595305757288706
8	0.5540469424271129
|	O75832
3	1.0
|	O75934
4	0.6461058563091165
6	0.35389414369088346
|	O75935
1	0.8462999999999999
3	0.1537
|	O75937
7	1.0
|	O75947
2	0.6348522167487685
6	0.15701970443349753
7	0.20812807881773396
|	O75955
16	0.4774
17	0.5226
|	O76003
11	1.0
|	O94903
6	1.0
|	O94905
12	1.0
|	O95292
6	1.0
|	O95299
13	0.8413065471889001
15	0.15869345281109987
|	O95336
5	0.6094551673589055
6	0.3905448326410945
|	O95372
3	1.0
|	O95433
11	0.19572286143071535
12	0.8042771385692846
|	O95571
4	0.7428005485296358
6	0.25719945147036416
|	O95747
21	1.0
|	O95816
3	1.0
|	O95861
11	0.4479961254389151
12	0.5520038745610849
|	O95900
9	0.26476843100189035
10	0.7352315689981096
|	O96000
1	1.0
|	O96007
2	1.0
|	O96008
11	0.22498107494322483
12	0.7750189250567752
|	O96019
15	1.0
|	O94805
15	1.0
|	P00374
2	1.0
|	Q86XF0
2	1.0
|	P00492
4	1.0
|	Q9NRG1
4	1.0
|	P00558
13	1.0
|	P00568
2	0.3660040395450197
3	0.6339959604549803
|	P01111
1	0.30437812100801304
3	0.695621878991987
|	P01116
1	0.30437812100801304
3	0.695621878991987
|	P01112
1	0.30437812100801304
3	0.695621878991987
|	P01891
12	1.0
|	P30459
12	1.0
|	P16189
12	1.0
|	P16190
12	1.0
|	P30512
12	1.0
|	P10314
12	1.0
|	P30511
12	1.0
|	Q5VX52
21	0.6021249825248148
22	0.3978750174751853
|	P02792
1	1.0
|	P02794
1	1.0
|	P04040
21	0.6015078082929456
22	0.3984921917070544
