| P35900
20 0.0
21 1.0
22 0.0
23 0.0
| O00764
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0007
6 0.0006
7 0.0005
8 0.0
9 0.1119
10 0.6545
11 0.0177
12 0.182
13 0.0
14 0.0165
15 0.0086
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0004
21 0.006
22 0.0002
23 0.0003
| O14530
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0571
7 0.8827
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.016
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0069
21 0.0121
22 0.0159
23 0.0093
| O14656
1 0.0
2 0.022
3 0.0
4 0.0256
5 0.0
6 0.0
7 0.0
8 0.0
9 0.2402
10 0.5733
11 0.0
12 0.0371
13 0.1017
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14684
1 0.2955
2 0.3891
3 0.0291
4 0.1702
5 0.0233
6 0.0
7 0.0283
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0068
13 0.0
14 0.0184
15 0.0233
16 0.0
17 0.0
18 0.0
19 0.0
20 0.016
21 0.0
22 0.0
23 0.0
| O14818
1 0.008
2 0.0093
3 0.0066
4 0.0113
5 0.0126
6 0.6623
7 0.1274
8 0.0242
9 0.011
10 0.0302
11 0.0085
12 0.0175
13 0.0121
14 0.0197
15 0.0086
16 0.0054
17 0.0
18 0.0
19 0.0
20 0.004
21 0.0053
22 0.0078
23 0.0085
| Q8TAA3
1 0.008
2 0.0093
3 0.0066
4 0.0113
5 0.0126
6 0.6623
7 0.1274
8 0.0242
9 0.011
10 0.0302
11 0.0085
12 0.0175
13 0.0121
14 0.0197
15 0.0086
16 0.0054
17 0.0
18 0.0
19 0.0
20 0.004
21 0.0053
22 0.0078
23 0.0085
| O14828
1 0.0
2 0.0
3 0.0
4 0.0062
5 0.0
6 0.0112
7 0.0
8 0.0
9 0.1242
10 0.1001
11 0.0651
12 0.2439
13 0.0
14 0.1947
15 0.0714
16 0.183
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14880
1 0.1407
2 0.3421
3 0.0946
4 0.1034
5 0.0463
6 0.0482
7 0.0408
8 0.0389
9 0.0181
10 0.0194
11 0.0203
12 0.0114
13 0.0172
14 0.0057
15 0.0034
16 0.0062
17 0.0
18 0.0
19 0.0
20 0.0026
21 0.0235
22 0.0066
23 0.0106
| O14908
1 0.0
2 0.0
3 0.0
4 0.0013
5 0.0
6 0.0019
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0131
12 0.666
13 0.0
14 0.2769
15 0.027
16 0.0044
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0008
22 0.0021
23 0.0064
| O14925
1 0.0
2 0.0
3 0.327
4 0.1157
5 0.4895
6 0.0
7 0.0553
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0125
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P19105
1 0.7503
2 0.1423
3 0.0025
4 0.0053
5 0.0488
6 0.0021
7 0.0026
8 0.0
9 0.0
10 0.002
11 0.0
12 0.0
13 0.0
14 0.0037
15 0.0038
16 0.0042
17 0.0
18 0.0
19 0.0
20 0.0023
21 0.0034
22 0.0034
23 0.0236
| O14950
1 0.7503
2 0.1423
3 0.0025
4 0.0053
5 0.0488
6 0.0021
7 0.0026
8 0.0
9 0.0
10 0.002
11 0.0
12 0.0
13 0.0
14 0.0037
15 0.0038
16 0.0042
17 0.0
18 0.0
19 0.0
20 0.0023
21 0.0034
22 0.0034
23 0.0236
| P24844
1 0.7503
2 0.1423
3 0.0025
4 0.0053
5 0.0488
6 0.0021
7 0.0026
8 0.0
9 0.0
10 0.002
11 0.0
12 0.0
13 0.0
14 0.0037
15 0.0038
16 0.0042
17 0.0
18 0.0
19 0.0
20 0.0023
21 0.0034
22 0.0034
23 0.0236
| O15160
1 0.0024
2 0.0
3 0.0188
4 0.0
5 0.0095
6 0.0114
7 0.0097
8 0.0
9 0.0
10 0.0006
11 0.0192
12 0.0447
13 0.2297
