| P05787
20 0.0377
21 0.0252
22 0.0324
23 0.0385
| O00764
1 0.0091
2 0.0075
3 0.0
4 0.0133
5 0.0049
6 0.0052
7 0.0
8 0.0084
9 0.0287
10 0.0083
11 0.1306
12 0.644
13 0.0
14 0.0056
15 0.0097
16 0.0
17 0.0065
18 0.0073
19 0.0061
20 0.0077
21 0.0
22 0.0326
23 0.0646
| O14530
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.428
10 0.0
11 0.0
12 0.0
13 0.0
14 0.572
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14579
1 0.0
2 0.0
3 0.0158
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.9484
11 0.0
12 0.0
13 0.0357
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P47813
1 0.0
2 0.0
3 0.0
4 0.165
5 0.8144
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0206
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14602
1 0.0
2 0.0
3 0.0
4 0.165
5 0.8144
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0206
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14656
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 1.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14745
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.947
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.053
| O14818
1 0.0143
2 0.0215
3 0.0549
4 0.0264
5 0.0105
6 0.0105
7 0.0231
8 0.551
9 0.0092
10 0.0203
11 0.0218
